Onset,Duration,Annotation
+1650.0320000,,Markon: 2
+1653.0780000,,spindle
+1655.7570000,,spindle
+1659.0960000,,spindle
+1661.6950000,,spindle
+1665.3040000,,spindle
+1667.4040000,20.776000,k-complex
+1668.0080000,,spindle
+1671.5490000,,spindle
+1672.1420000,20.776000,k-complex
+1672.5450000,,spindle
+1679.9660000,,Markoff: 2
+1680.0650000,,Markon: 2
+1680.3820000,,spindle
+1685.3240000,,spindle
+1692.4900000,,spindle
+1699.1820000,,spindle
+1704.2450000,,spindle
+1709.1190000,,spindle
+1709.9330000,,Markoff: 2
+1710.1149000,,Markon: 3
+1713.2390000,,spindle
+1714.3100000,0.477000,k-complex
+1715.0330000,,spindle
+1719.5760000,,spindle
+1725.7020000,,spindle
+1730.0650000,,spindle
+1734.9530000,,spindle
+1739.9497000,,Markoff: 3
+1740.0492000,,Markon: 3
+1744.7010000,,spindle
+1748.8890000,,spindle
+1755.5810000,,spindle
+1759.3650000,,spindle
+1763.4180000,,spindle
+1764.9880000,,spindle
+1769.3770000,,spindle
+1769.9661000,,Markoff: 3
+1770.0164000,,Markon: 3
+1776.8240000,,spindle
+1780.4540000,,spindle
+1785.1580000,,spindle
+1790.1000000,,spindle
+1792.6990000,,spindle
+1796.5230000,,spindle
+1799.4310000,,spindle
+1799.9333000,,Markoff: 3
+1800.0492000,,Markon: 3
+1802.0540000,,spindle
+1805.5660000,,spindle
+1810.2140000,,spindle
+1812.7290000,,spindle
+1816.4320000,,spindle
+1820.4310000,,spindle
+1823.4230000,,spindle
+1828.2840000,,spindle
+1829.9661000,,Markoff: 3
+1830.0328000,,Markon: 3
+1832.3230000,,spindle
+1834.8550000,,spindle
+1840.4110000,,spindle
+1844.4640000,,spindle
+1845.8640000,,spindle
+1848.9470000,,spindle
+1855.1140000,,spindle
+1857.0700000,,spindle
+1859.8840000,,Markoff: 3
+1860.0328000,,Markon: 3
+1860.6650000,,spindle
+1862.2800000,,spindle
+1863.7350000,,spindle
+1866.2930000,,spindle
+1870.5510000,,spindle
+1874.7380000,,spindle
+1880.1110000,,spindle
+1883.1670000,,spindle
+1887.0990000,,spindle
+1889.9825000,,Markoff: 3
+1890.0492000,,Markon: 3
+1901.0330000,,spindle
+1904.4260000,,spindle
+1908.2230000,,spindle
+1911.9100000,,spindle
+1913.0950000,,spindle
+1915.9630000,,spindle
+1919.0870000,,spindle
+1919.9333000,,Markoff: 3
+1920.0328000,,Markon: 3 
+1922.1160000,,spindle
+1924.3110000,,spindle
+1925.5500000,,spindle
+1929.0830000,,spindle
+1934.9130000,,spindle
+1937.9030000,,spindle
+1941.9990000,,spindle
+1944.4160000,,spindle
+1945.8180000,,spindle
